product,type,category,sub_category
Sunfeast,Shower Gel & Body Wash,Beauty & Hygiene,Bath & Hand Wash
Sunfeast,Shower Gel & Body Wash,Beauty & Hygiene,Bath & Hand Wash
Sunfeast,Shower Gel & Body Wash,Beauty & Hygiene,Bath & Hand Wash
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Fresho,Leafy Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Leafy Vegetables,Fruits & Vegetables,Fresh Vegetables
Fresho,Leafy Vegetables,Fruits & Vegetables,Fresh Vegetables
MAGGI ,Home Baking,Snacks & Branded Foods,Ready To Cook & Eat
MAGGI ,Home Baking,Snacks & Branded Foods,Ready To Cook & Eat
MAGGI ,Home Baking,Snacks & Branded Foods,Ready To Cook & Eat
MAGGI ,Home Baking,Snacks & Branded Foods,Ready To Cook & Eat
MAGGI ,Home Baking,Snacks & Branded Foods,Ready To Cook & Eat
Shalimar,Hair Care & Styling,Beauty & Hygiene,Men's Grooming
Shalimar,Hair Care & Styling,Beauty & Hygiene,Men's Grooming
Shalimar,Hair Care & Styling,Beauty & Hygiene,Men's Grooming
Shalimar,Hair Care & Styling,Beauty & Hygiene,Men's Grooming
Shalimar,Hair Care & Styling,Beauty & Hygiene,Men's Grooming
Kohinoor,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Blended Masalas,"Foodgrains, Oil & Masala",Masalas & Spices
Nihar,Tools & Accessories,Beauty & Hygiene,Hair Care
Nihar,Tools & Accessories,Beauty & Hygiene,Hair Care
Nihar,Tools & Accessories,Beauty & Hygiene,Hair Care
Nihar,Tools & Accessories,Beauty & Hygiene,Hair Care
Nihar,Tools & Accessories,Beauty & Hygiene,Hair Care
Fresho,Indian & Exotic Herbs,Fruits & Vegetables,Herbs & Seasonings
Fresho,Indian & Exotic Herbs,Fruits & Vegetables,Herbs & Seasonings
Fresho,Indian & Exotic Herbs,Fruits & Vegetables,Herbs & Seasonings
Fresho,Indian & Exotic Herbs,Fruits & Vegetables,Herbs & Seasonings
Fresho,Indian & Exotic Herbs,Fruits & Vegetables,Herbs & Seasonings
Fresho,Indian & Exotic Herbs,Fruits & Vegetables,Herbs & Seasonings
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Fresho,Cucumber & Capsicum,Fruits & Vegetables,Fresh Vegetables
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Cello,"Pen, Pencils",Cleaning & Household,Stationery
Classmate,Tomato Ketchup & Sauces,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Classmate,Tomato Ketchup & Sauces,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
Classmate,Tomato Ketchup & Sauces,Snacks & Branded Foods,"Spreads, Sauces, Ketchup"
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
B Vishal,"Caps, Balloons & Candles",Cleaning & Household,Party & Festive Needs
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Mangaldeep,Organic Vegetables,Fruits & Vegetables,Organic Fruits & Vegetables
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Amul,"Flavoured, Soya Milk","Bakery, Cakes & Dairy",Dairy
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Fresho,Detergent Bars,Cleaning & Household,Detergents & Dishwash
Too Yumm!,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Sln  ,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Sln  ,Namkeen & Savoury Snacks,Snacks & Branded Foods,Snacks & Namkeen
Sunfeast,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Organic Vegetables,Fruits & Vegetables,Herbs & Seasonings
Fresho,Coffee & Pre-Mix,Gourmet & World Food,Drinks & Beverages
Fresho,Coffee & Pre-Mix,Gourmet & World Food,Drinks & Beverages
Fresho,Coffee & Pre-Mix,Gourmet & World Food,Drinks & Beverages
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
ACT II,Soups,Snacks & Branded Foods,Ready To Cook & Eat
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Kohinoor,Herbs & Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices
Winkies,Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy",Cakes & Pastries
Winkies,Tea Cakes & Slice Cakes,"Bakery, Cakes & Dairy",Cakes & Pastries
Nandini,Salts,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery"
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Cuts & Sprouts
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Dukes,Cream Biscuits & Wafers,Snacks & Branded Foods,Biscuits & Cookies
Fresho,Cut & Peeled Veggies,Fruits & Vegetables,Exotic Fruits & Veggies
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
B Natural,Juices,Beverages,Fruit Juices & Drinks
